Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Oct 14 - Oct 26, 2020",2020-10-14,5.5,2.7,9.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Oct 28 - Nov 9, 2020",2020-10-28,21,18.5,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Oct 28 - Nov 9, 2020",2020-10-28,22.3,20.8,23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Oct 28 - Nov 9, 2020",2020-10-28,20.3,19.3,21.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Oct 28 - Nov 9, 2020",2020-10-28,21.4,20.2,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Oct 28 - Nov 9, 2020",2020-10-28,21.5,20,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Oct 28 - Nov 9, 2020",2020-10-28,18.4,16.6,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Oct 28 - Nov 9, 2020",2020-10-28,13.6,9.8,18.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Oct 28 - Nov 9, 2020",2020-10-28,14.8,13,16.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Oct 28 - Nov 9, 2020",2020-10-28,14.4,13.2,15.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Oct 28 - Nov 9, 2020",2020-10-28,10.1,9.4,10.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Oct 28 - Nov 9, 2020",2020-10-28,9.2,8,10.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Oct 28 - Nov 9, 2020",2020-10-28,6.3,5.4,7.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Oct 28 - Nov 9, 2020",2020-10-28,3.2,2.6,3.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Oct 28 - Nov 9, 2020",2020-10-28,2.9,1.7,4.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Oct 28 - Nov 9, 2020",2020-10-28,26.8,24.1,29.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Oct 28 - Nov 9, 2020",2020-10-28,27.5,25.9,29.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Oct 28 - Nov 9, 2020",2020-10-28,23.9,22.8,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Oct 28 - Nov 9, 2020",2020-10-28,24.5,23,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Oct 28 - Nov 9, 2020",2020-10-28,23.2,21.6,24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Oct 28 - Nov 9, 2020",2020-10-28,19.5,17.7,21.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Oct 28 - Nov 9, 2020",2020-10-28,15.2,11.2,19.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Oct 28 - Nov 9, 2020",2020-10-28,21.6,19.4,23.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Oct 28 - Nov 9, 2020",2020-10-28,16.1,14.8,17.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Oct 28 - Nov 9, 2020",2020-10-28,11,10,12.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Oct 28 - Nov 9, 2020",2020-10-28,9.7,8.6,10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Oct 28 - Nov 9, 2020",2020-10-28,5.6,4.7,6.6
